srclang,trglang,srcIndex,segmentId,judgeID,system1Id,system1rank,system2Id,system2rank,rankingID
rus,eng,2162,2162,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,1,424
rus,eng,2162,2162,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.online-F.0.ru-en.txt,2,424
rus,eng,2162,2162,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.USAAR-gacha.3986.ru-en.txt+newstest2015.USAAR-gacha.4052.ru-en.txt,5,424
rus,eng,2162,2162,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.online-B.0.ru-en.txt,3,424
rus,eng,2162,2162,judge43,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,1,newstest2015.online-F.0.ru-en.txt,2,424
rus,eng,2162,2162,judge43,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,1,newstest2015.USAAR-gacha.3986.ru-en.txt+newstest2015.USAAR-gacha.4052.ru-en.txt,5,424
rus,eng,2162,2162,judge43,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,1,newstest2015.online-B.0.ru-en.txt,3,424
rus,eng,2162,2162,judge43,newstest2015.online-F.0.ru-en.txt,2,newstest2015.USAAR-gacha.3986.ru-en.txt+newstest2015.USAAR-gacha.4052.ru-en.txt,5,424
rus,eng,2162,2162,judge43,newstest2015.online-F.0.ru-en.txt,2,newstest2015.online-B.0.ru-en.txt,3,424
rus,eng,2162,2162,judge43,newstest2015.USAAR-gacha.3986.ru-en.txt+newstest2015.USAAR-gacha.4052.ru-en.txt,5,newstest2015.online-B.0.ru-en.txt,3,424
rus,eng,1557,1557,judge43,newstest2015.MITLL-AFRL-hiero.4090.ru-en.txt,2,newstest2015.online-B.0.ru-en.txt,4,425
rus,eng,1557,1557,judge43,newstest2015.MITLL-AFRL-hiero.4090.ru-en.txt,2,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,3,425
rus,eng,1557,1557,judge43,newstest2015.MITLL-AFRL-hiero.4090.ru-en.txt,2,newstest2015.uedin-syntax.4005.ru-en.txt,5,425
rus,eng,1557,1557,judge43,newstest2015.MITLL-AFRL-hiero.4090.ru-en.txt,2,newstest2015.USAAR-gacha.3986.ru-en.txt,1,425
rus,eng,1557,1557,judge43,newstest2015.online-B.0.ru-en.txt,4,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,3,425
rus,eng,1557,1557,judge43,newstest2015.online-B.0.ru-en.txt,4,newstest2015.uedin-syntax.4005.ru-en.txt,5,425
rus,eng,1557,1557,judge43,newstest2015.online-B.0.ru-en.txt,4,newstest2015.USAAR-gacha.3986.ru-en.txt,1,425
rus,eng,1557,1557,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,3,newstest2015.uedin-syntax.4005.ru-en.txt,5,425
rus,eng,1557,1557,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,3,newstest2015.USAAR-gacha.3986.ru-en.txt,1,425
rus,eng,1557,1557,judge43,newstest2015.uedin-syntax.4005.ru-en.txt,5,newstest2015.USAAR-gacha.3986.ru-en.txt,1,425
rus,eng,582,582,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,3,426
rus,eng,582,582,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.USAAR-gacha.4052.ru-en.txt,5,426
rus,eng,582,582,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.online-F.0.ru-en.txt,2,426
rus,eng,582,582,judge43,newstest2015.LIMSI-NCode-SOUL.3998.ru-en.txt,4,newstest2015.online-B.0.ru-en.txt,1,426
rus,eng,582,582,judge43,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,3,newstest2015.USAAR-gacha.4052.ru-en.txt,5,426
rus,eng,582,582,judge43,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,3,newstest2015.online-F.0.ru-en.txt,2,426
rus,eng,582,582,judge43,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,3,newstest2015.online-B.0.ru-en.txt,1,426
rus,eng,582,582,judge43,newstest2015.USAAR-gacha.4052.ru-en.txt,5,newstest2015.online-F.0.ru-en.txt,2,426
rus,eng,582,582,judge43,newstest2015.USAAR-gacha.4052.ru-en.txt,5,newstest2015.online-B.0.ru-en.txt,1,426
rus,eng,582,582,judge43,newstest2015.online-F.0.ru-en.txt,2,newstest2015.online-B.0.ru-en.txt,1,426
rus,eng,537,537,judge41,newstest2015.online-F.0.ru-en.txt,3,newstest2015.uedin-syntax.4005.ru-en.txt,4,427
rus,eng,537,537,judge41,newstest2015.online-F.0.ru-en.txt,3,newstest2015.uedin-jhu-phrase.4065.ru-en.txt,5,427
rus,eng,537,537,judge41,newstest2015.online-F.0.ru-en.txt,3,newstest2015.MITLL-AFRL-phrase-based.4089.ru-en.txt,1,427
rus,eng,537,537,judge41,newstest2015.online-F.0.ru-en.txt,3,newstest2015.MITLL-AFRL-pbfac.4077.ru-en.txt,2,427
rus,eng,537,537,judge41,newstest2015.uedin-syntax.4005.ru-en.txt,4,newstest2015.uedin-jhu-phrase.4065.ru-en.txt,5,427
